com.samsung.shealth.food_frequent,6307003,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.0,2023-10-11 13:59:09.657,2023-10-11 13:59:09.657,1.0,0.0,0.0,zygK3IiKBU,com.sec.android.app.shealth,0.0,1cda8347-a98e-4abd-a469-552562dc6163,278f7b22-23ae-452a-b06a-467cdc514560,0.0,
0.0,2023-10-11 20:41:01.006,2023-10-11 20:41:01.006,0.0,0.0,0.0,zygK3IiKBU,com.sec.android.app.shealth,1.0,b321abaf-c745-4b67-9f37-aac7ab9633b0,5598d2d9-c487-458f-a342-95de0fdc88d9,0.0,
0.0,2023-10-12 16:54:51.260,2023-10-11 16:02:51.103,0.0,1.0,0.0,zygK3IiKBU,com.sec.android.app.shealth,0.0,e8af886b-5646-4e45-9474-eefe19f1f893,0b9cd86c-ae6d-44e6-b21c-4ff43a7d08e6,2.0,
0.0,2023-10-12 17:29:54.538,2023-10-12 17:29:54.538,0.0,0.0,0.0,zygK3IiKBU,com.sec.android.app.shealth,1.0,ac5ccd0f-3c05-4513-9496-3424a1ff5739,c02bf58d-ee96-4464-aa4c-3b2aa6a0a9a3,0.0,
0.0,2023-10-13 14:36:17.937,2023-10-12 13:04:34.512,0.0,0.0,2.0,zygK3IiKBU,com.sec.android.app.shealth,0.0,13a676a6-ad3b-49e1-999c-68f48e131e68,98b6dfd9-f451-4f7c-ab80-2720c13df21e,0.0,
0.0,2023-10-13 14:36:17.906,2023-10-12 13:04:34.495,0.0,0.0,2.0,zygK3IiKBU,com.sec.android.app.shealth,0.0,872e913c-442b-4c1c-af20-e22ff76eb602,7738de43-db2b-44de-91b8-65a31dd3789c,0.0,
0.0,2023-10-13 15:55:53.136,2023-10-13 15:55:53.136,0.0,0.0,0.0,zygK3IiKBU,com.sec.android.app.shealth,0.0,7ab2a740-66a3-44fa-865d-a3a93ccb67d9,334acad6-ef08-4bce-abde-e22365f3e6ab,1.0,
0.0,2023-10-17 12:37:18.307,2023-10-12 13:04:34.479,0.0,0.0,3.0,zygK3IiKBU,com.sec.android.app.shealth,0.0,337b3a80-bd9f-43e7-8a31-669a3ba503bf,6c77dea7-7164-41a1-ab8c-13eac1644e14,0.0,
0.0,2023-10-18 02:59:50.648,2023-10-18 02:59:50.648,0.0,0.0,0.0,zygK3IiKBU,com.sec.android.app.shealth,1.0,b82243d8-f384-4c5f-8746-153186213036,b064ef29-7848-4cd0-96d4-2e4aefa93fa1,0.0,
0.0,2023-10-18 02:59:11.329,2023-10-11 16:02:51.084,0.0,2.0,0.0,zygK3IiKBU,com.sec.android.app.shealth,0.0,df7bf183-358d-40f7-abef-f1003ada8d0d,a63e96de-6e90-4853-b133-dc69ad4beab5,4.0,
0.0,2023-10-18 02:59:11.346,2023-10-11 11:39:52.959,0.0,1.0,2.0,zygK3IiKBU,com.sec.android.app.shealth,2.0,6b7941dc-c81d-4308-ba7e-bac777e44cb2,16151307-2ac0-4af4-8566-e3394cf2368e,1.0,
0.0,2023-10-18 02:59:50.634,2023-10-12 13:04:34.459,0.0,0.0,3.0,zygK3IiKBU,com.sec.android.app.shealth,1.0,650b1861-ab6a-42ba-b91c-a7bdfb57d8f5,c76fd169-d868-4ea5-85f0-410bd86c927a,0.0,
0.0,2024-07-23 17:43:15.576,2023-10-11 20:42:09.738,0.0,0.0,1.0,XLy3VBYEN4,com.sec.android.app.shealth,1.0,28eb877c-fc51-420a-9cba-ac3ac96917fe,5ad8c0ec-eda1-4968-bf17-92b0a98d52d5,0.0,
0.0,2024-07-23 17:43:15.596,2023-10-11 11:39:52.982,0.0,0.0,2.0,XLy3VBYEN4,com.sec.android.app.shealth,1.0,86908ff7-33f8-49ac-afb7-c9ae1d5ebad5,93ce3cda-7fbf-49c6-8eb8-e90ef182a378,0.0,
0.0,2024-07-23 17:43:15.614,2023-10-13 14:36:17.918,0.0,0.0,2.0,XLy3VBYEN4,com.sec.android.app.shealth,0.0,14858b9c-3771-4b14-91a7-6eb677088768,e58405d7-eaaf-4158-a528-1fa65aac5af8,0.0,
0.0,2024-07-23 17:44:24.262,2023-10-11 16:02:51.059,0.0,1.0,0.0,XLy3VBYEN4,com.sec.android.app.shealth,0.0,9092c6cb-6dd2-4362-a37a-9b4ecc93dfb5,895a573b-74da-493e-a80d-915a8c0cc9ef,5.0,
0.0,2024-07-23 17:44:24.274,2024-07-23 17:44:24.274,0.0,0.0,0.0,XLy3VBYEN4,com.sec.android.app.shealth,0.0,960afd33-deb7-4e35-b2b6-f8a4feba9e9b,47b66d3d-ca0b-4ba2-b884-682737edffd7,1.0,
0.0,2024-07-23 17:44:24.294,2024-07-23 17:44:24.294,0.0,0.0,0.0,XLy3VBYEN4,com.sec.android.app.shealth,0.0,b6bdc5ae-05a8-4f1a-a0d7-a2ed7b894933,211baa25-7297-4b4a-9d4b-8d783f5e34d5,1.0,
