com.samsung.health.user_profile,6307003,10
text_value,create_sh_ver,float_value,modify_sh_ver,update_time,create_time,long_value,key,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
kg,,,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,weight_unit,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000007,
cm,,,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,height_unit,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000009,
km,,,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,distance_unit,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000c,
C,,,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,temperature_unit,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000d,
mg/dL,,,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,blood_glucose_unit,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000e,
%,,,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,hba1c_unit,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000012,
mmHg,,,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,blood_pressure_unit,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000013,
ml,,,,1970-01-01 00:00:00.001,1970-01-01 00:00:00.001,,water_unit,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000014,
19980427,63060070,,63060070,2025-12-10 14:23:26.526,2025-12-10 14:23:26.530,,birth_date,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000a,
BRA,63060070,,63060070,2025-12-10 14:23:26.527,2025-12-10 14:23:26.533,,country,,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000001,
,63060070,,63060070,2025-12-13 20:09:30.152,2025-12-10 14:23:46.667,,intention_survey,00000000-0000-0000-0000-00000000001c.intention_survey.json,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000001c,
,63060070,,63060070,2025-12-15 23:43:34.911,2025-12-10 14:23:47.072,,dashboard_config,00000000-0000-0000-0000-000000000016.dashboard_config.json,,bvFPH0+ZC9,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000016,
,,,,2023-10-11 20:43:41.907,2023-10-11 20:43:42.029,,activity_type,,180003,zygK3IiKBU,com.sec.android.app.shealth,,00000000-0000-0000-0000-00000000000b,
juliamacg_,,,,2023-10-11 20:43:41.910,2023-10-11 20:43:41.963,,name,,,zygK3IiKBU,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000004,
F,63060070,,63060070,2024-07-20 12:10:56.393,2023-10-10 17:48:18.274,,gender,,,9cX1oNetDs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000005,
F,63060070,,63060070,2024-07-20 12:10:56.393,2023-10-10 17:48:18.271,,gender_extended,,,9cX1oNetDs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000022,
,63060070,58.0,63060070,2025-12-10 14:10:17.054,2025-12-10 14:24:00.500,,weight,,,9cX1oNetDs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000006,
,63060070,166.0,63060070,2024-07-20 12:10:56.389,2025-12-10 14:24:01.468,,height,,,9cX1oNetDs,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000008,
5511991433143,,,,2023-10-10 17:45:13.695,2023-10-10 17:45:13.672,,phone_number,,,zygK3IiKBU,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000021,
122078523,,,,2023-10-10 17:45:16.779,2023-10-10 17:45:16.792,,social_id,,,zygK3IiKBU,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000015,
,,,,2023-10-11 20:43:41.914,2023-10-11 20:43:41.976,,image,00000000-0000-0000-0000-000000000002.image.jpg,,zygK3IiKBU,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000002,
image/jpeg,,,,2023-10-11 20:43:41.894,2023-10-11 20:43:41.912,,image_type,,,zygK3IiKBU,com.sec.android.app.shealth,,00000000-0000-0000-0000-000000000018,
